,0
0,The company often organizes cultural and sports activities
1,"Regular safety-related drills are held to strengthen employees' safety awareness. Receive safety education regularly. You are required to wear fluorescent clothing and helmets when commuting to and from get off work at night, which is also for your safety. In the hot summer weather, the company regularly distributes drinks or ice cream. There are also medicine kits, such as Huoxiang Zhengqi and other medicines."
2,Responsibility and obligation to society for helping employees in difficulties
3,The mutual protection fund of the trade union provides care for the families of the needy workers and helps them to get through the sadness
4,"Safety precautions, work motivation"
5,"Many people don’t pick up money, and colleagues in the parking lot remind me if they forget to close the windows"
6,We are like a big family when we encounter difficulties at home
7,Caring about employee welfare
8,Caring about employee welfare
9,"There are TPM activities every month, and there are some rewards for the activities. Only with rewards can employees have a positive attitude, and only then can they participate enthusiastically. Rewards do not matter, but mainly promote employees and enthusiasm"
10,"The family member of an employee in the company was injured, and the company provided assistance"
11,Condolences to colleagues and families in difficulties.
12,I want to donate to poor areas and donate to hospitals during the epidemic.
13,The company’s employees who have difficulties with their families or who have serious illnesses will help within their capacity.
14,The company will visit sick employees.
15,The company will help some people who have difficulties at home
16,Donate during the epidemic
17,"Caring for employees, sending cool activities in summer."
18,"When employees encounter major problems, the company can help in time! !"
19,Send cool; I think the company’s leaders appreciate the hardships of frontline employees
20,"Love meals, birthday gifts, caring for sick family members"
21,Propaganda positive energy of corporate culture
22,"Corporate culture, the company is committed to promoting positive energy. Help employees with family difficulties, help children who are out of school, help students in special schools!"
23,Caring for employees in difficulties
24,Safety awareness training
25,"Too much, I can’t write, that’s it"
26,"Company corporate culture, pay wages on time, employee communication meetings"
27,Very caring for charity and caring for employees
28,"Pay wages on time, corporate culture, employee communication meetings"
29,Good people and good things announced by the company
30,"Re-education, guidance and some leisure and entertainment are all revealing some positive things!"
31,"The company’s summer coolness is particularly positive energy, which reflects the care for employees"
32,Family members or employees of the company have difficulties at home. Talk to the company. The company sends a representative to the home to give condolences and send money and things.
33,Air conditioning in the lounge
34,"Suggested that the hot company in the lounge immediately turned on the air conditioner for us. It would be great if the air conditioner was turned on again in the locker room, because our locker room is too hot on the second floor."
35,"In the lounge, employees are provided with air-conditioning water dispensers, and they are caring"
36,Install fans and air conditioners to provide pre-assistance for employees in difficulties
37,Respond promptly to employees' demands. Show the company leaders' care for our frontline employees! Thank you
38,Always lend a helping hand in time when you need help.
39,It’s great to treat each employee very humanely
40,Help poor employees
41,"The company selects outstanding employees at the end of the year, and the company arranges personnel"
42,Company benefits
43,"Caring for employees, consider everything for their employees,"
44,Help difficult employees
45,Carry out entertainment activities
46,Treat employees equally
47,Employee treatment for serious illness
48,"The weather is hot, the company gives employees cool"
49,The company's love fund and assistance to needy employees
50,Helping employees in difficulties
51,Pick up something and hand it in
52,The company launched a love fund to help poor employees.The company loves parents and cares for left-behind children.The company's donations to socially disadvantaged families and special education.
53,More cultural and sports activities
54,Shengyang Love Fund helps people in need.
55,Cool summer
56,Social responsibility
57,Help the employees in difficulty and give a little love to themselves.
