,0
0,及时的给与关心和鼓励。让大家体会到，我们圣阳不会辜负每一位员工。
1,座谈会，沟通最重要
2,多沟通，多交流，互帮互助，团结一心
3,希望公司多组织贴近一线员工的集体活动，增加大家的集体意识，团结意识
4,多些理解少点套路
5,领导的关爱，同事关心，就是一个大家庭。
6,多搞点集体活动
7,增加文体方面的娱乐活动，加大企业文化学习，让大家对公司有认同感
8,我们应该坦然接纳自己，这些消极的情绪，并且积极的去面对它，这种孤独的感觉，不会一下子把我们拉入深渊
9,在圣阳上班不会让你感到孤独
10,组织团建活动和以班组为单位的小集体娱乐圈
11,希望组织班组内部的小聚会，或者小活动增加员工与员工之间的感情！
12,多增加集体活动
13,很关心员工
14,及时关怀困难家庭员工，互相帮助，创建和谐文明企业
15,讲实际办实事。
16,脚踏实地的工作，保质保量完成任务
17,对其关心爱护
18,多举行集体活动
19,经常在一起开会交流沟通
20,组织集体娱乐活动
21,多和一线员工沟通！
22,积极沟通，寻求帮助
23,开展一些集体活动 比如一起去旅游 聚餐或是做一些有意义的事
24,多多参加集体活动
25,继续保持对一线的生产员工的各方面的理解和支持
26,公司应该定期举行员工沟通会，彼此距离会更近。
27,搞一下旅游活动。
28,我认为公司是一个团体，员工之间应该多交流，公司应当多组织一些活动。
29,领导给予的安慰
30,公司组织相关领导，探望住院员工和家属 员工生日蛋糕卡
31,多倾听员工的心声，多为员工办实事，多解决员工提出的问题
32,能感到大家庭的温暖
33,同事之间多些交流，多些关心！
34,解决问题迎难而上
35,多组织组织集体活动 送清凉啥的
36,定期开沟通会
37,希望上级领导多关注一下一线员工
38,安全第一，预防为主
39,多给员工沟通
40,多组织团建活动
41,没感到有孤独感，有的是归属感
42,多交流多沟通，多关心让每个员工都融入这个温暖的大圣阳
43,为什么人员流失快
44,人性化管理
45,员工的休息时间不够 我们员工都分不出星期几了。
46,领导不善于发现肯定员工的能力及付出，倒是很擅长其他……，公司严重缺乏人性化管理
47,领导和工人进行沟通
48,生活不一定很酷，但是要有态度
49,领导和员工沟通，对员工关爱
50,积极参于娱乐活动，比如拔河，打羽毛球等。
51,各层级管理人员要即时了解员工思想动向，在需要帮助的时主管带头，带动大家都能伸出援助之手，因为大家的力量是强大的！
52,增加业余活动，多交流，多谈心，了解员工的需求，解决员工遇到的困难，让大家安安心心的上班
53,更人性化的管理模式多为员工想想
54,可以提供更多的集体活动
55,多组织一些户外活动
56,啥叫孤独感
57,我希望厂里有位心理辅导老师，做心理辅导！
58,开展集体活动
59,提高员工的归属感
60,领导多与下属沟通，了解员工生活现状。
61,相互交流，分享经验。
62,贴心和关爱
63,多点旅游福利
64,尽量与员工执行一个标准，领导更应以身作则！
65,善于倾听底层员工的心声
66,为公司加油
67,多多组织集体活动
68,不要孤立每一位员工
69,增加集体活动
70,都会安慰陪伴
71,领导能深入了解员工的需求
72,和大家多聊聊天就不显得孤独了
73,多交流互动
74,公司经常举行活动，很贴心
75,多去关心员工在工作中遇到的问题；
76,公司领导班子和员工很融洽
77,每个月都开展一次座谈会
78,多组织一些娱乐节目
79,使你最有安全感
80,多组织聚会什么的
81,多举行一些集体话动
82,举办一些拓展训练，增强团队意识。
83,在工作时间之外，能安排大家沟通的活动。
84,公司组织活动
85,和谐的人际关系
86,增加一些趣味类团队类活动多沟通
87,分享一些关于安全的事例。
88,每年组织一次旅游休闲活动，让同事们有一个放松心情的平台。
89,多些关心，少些罚款
90,多组织健康体育活动，尤其是锻炼团队配合的活动
91,抽时间多组织一些活动嘛，让大家放松放松
92,多组织团队建设活动。如拓展训练等等
93,和员工交流
94,多关心员工
95,设身处地，换位置思考
96,组织群体参与的活动
97,提高员工福利待遇，增加薪酬
98,多方面与一线员工沟通
99,组织一些热闹的活动，如集体旅游等
100,我不孤独，因为圣阳大家庭给我了很多感动，很多快乐！
101,多一些的沟通、关心一下我们这些单身男人
102,多举行员工沟通会，让大家畅所欲言
103,集体活动太少
104,和员工经常沟通
105,多多的听听员工的心声
106,还能更人性化
107,体量下基层
108,多听听一线工作者的心声
109,同事之间应互相理解，互相帮助
110,多开展一些团建活动
111,多了解，多沟通，多解决。帮助新进员工快速适应工作和生活环境。
112,给员工多些沟通
113,希望工资上调
114,平常多沟通交流，建立融洽的和谐的沟通氛围。
115,不要把大家框死了！
116,多搞活动，增加交流
117,可以集体出去旅游，
118,对员工多关心一些，多体谅一下员工
119,多举办一些沟通交流会，把大家聚集起来共同创造多资多彩的生活
120,不要做无用功，直接抓主题
121,没有什么可说的
122,在I工作中希望领导多鼓励员工能够互相帮助，团结友爱
123,没有吧  每个人治疗孤独的方法方式可能都不一样  但是发钱 绝对是让所有人开心的
124,公司鼓励单身男女参加鹊桥会
125,领导体谅员工，不是严格管理
126,与同事之间更亲密
127,了解员工心理
128,多组织活动
129,对职工关心，聊聊心
130,积极传递正能量，多增加体育运动和娱乐活动
131,公司领导多和工人开一些员工沟通会
132,不要对员工区别对待
